 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
1.0000000000,462686.0331140370,79.0000000000,2.0000000000,-9930154.3712542600,44.0000000000,43.0000000000,44.0000000000,0.0160000000,18173.7776284441,-0.0000093450,0.0000000000,0.0000000000,28.1444543339,7.9790180139,13.9527064934,LOS
3.0000000000,462686.0331140370,48.0000000000,2.0000000000,-9869339.3171873100,38.0000000000,37.0000000000,38.0000000000,-0.0720000000,17925.1786260344,0.0001936072,0.0000000000,0.0000000000,272.5509705469,6.1776375696,42.4405343719,NLOS
4.0000000000,462686.0331140370,61.0000000000,2.0000000000,-9929339.2742872800,39.0000000000,38.0000000000,39.0000000000,-0.0060000000,18595.6276615224,-0.0000067730,0.0000000000,0.0000000000,390.4706025682,3.9608097300,-30.0557650775,NLOS
9.0000000000,462686.0331140370,10.0000000000,2.0000000000,-9950937.1439585900,45.0000000000,45.0000000000,46.0000000000,-0.0700000000,17641.7347727641,-0.0000784048,0.0000000000,0.0000000000,564.1870627254,3.1364082918,93.1311891600,LOS
73.0000000000,462686.0331140370,25.0000000000,0.0000000000,-9892277.2056884700,28.0000000000,27.0000000000,29.0000000000,-0.0550000000,18536.2016590908,0.0001172031,0.0000000000,0.0000000000,335.8020792305,-79.2631160468,74.9715425037,NLOS
74.0000000000,462686.0331140370,47.0000000000,0.0000000000,-9916460.1601148600,40.0000000000,39.0000000000,41.0000000000,-0.0060000000,18548.4125326946,0.0000367173,0.0000000000,0.0000000000,348.0129528344,49.4677039310,128.8816924058,LOS
23.0000000000,462686.0331140370,41.0000000000,2.0000000000,-9953436.0124335400,52.0000000000,51.0000000000,52.0000000000,-0.0430000000,17825.4890969134,-0.0000868463,0.0000000000,0.0000000000,374.9108540900,6.3985905759,61.3071981780,LOS
31.0000000000,462686.0331140370,40.0000000000,0.0000000000,-9830190.6060009500,28.0000000000,27.0000000000,27.0000000000,-0.0430000000,18378.7094738297,0.0003239160,0.0000000000,0.0000000000,179.4506158233,1.0713033155,-40.6705612205,NLOS
1.0000000000,462687.0331747650,79.0000000000,2.0000000000,-9948360.4105717400,44.0000000000,43.0000000000,44.0000000000,0.0820000000,18173.8523918986,-0.0000093450,0.0000000000,0.0000000000,36.1353487335,-7.9908943996,12.0973868482,LOS
3.0000000000,462687.0331747650,48.0000000000,2.0000000000,-9887552.5765946600,38.0000000000,37.0000000000,38.0000000000,-0.0200000000,17925.1514367796,0.0001936072,0.0000000000,0.0000000000,277.5993014127,-5.0483308658,47.8115815520,NLOS
4.0000000000,462687.0331747650,61.0000000000,2.0000000000,-9947549.4995487500,39.0000000000,38.0000000000,39.0000000000,0.0670000000,18595.6866403408,-0.0000067730,0.0000000000,0.0000000000,389.8849172518,-0.5856853165,-27.7253272682,NLOS
9.0000000000,462687.0331747650,10.0000000000,2.0000000000,-9969139.5713366900,45.0000000000,44.0000000000,46.0000000000,0.0060000000,17641.7315203100,-0.0000784048,0.0000000000,0.0000000000,571.8754091188,-7.6883463934,87.6601121016,LOS
73.0000000000,462687.0331747650,25.0000000000,0.0000000000,-9910452.2489661000,29.0000000000,28.0000000000,29.0000000000,0.0630000000,18530.5809887014,0.0001172031,0.0000000000,0.0000000000,322.6865973920,-13.1154818386,42.1204288304,NLOS
74.0000000000,462687.0331747650,47.0000000000,0.0000000000,-9934676.6322785000,41.0000000000,40.0000000000,40.0000000000,0.2350000000,18529.6173790059,0.0000367173,0.0000000000,0.0000000000,321.7229876965,-26.2899651378,137.4594647363,LOS
23.0000000000,462687.0331747650,41.0000000000,2.0000000000,-9971643.3840872300,52.0000000000,51.0000000000,52.0000000000,0.0320000000,17825.5126020498,-0.0000868463,0.0000000000,0.0000000000,383.1432898641,-8.2324357741,60.7840893976,LOS
31.0000000000,462687.0331747650,40.0000000000,2.0000000000,-9848401.2197904500,28.0000000000,27.0000000000,28.0000000000,0.1210000000,18378.8219083361,0.0003239160,0.0000000000,0.0000000000,173.4002128318,-6.0504029915,-37.9521332607,NLOS
1.0000000000,462688.0332354940,79.0000000000,2.0000000000,-9966568.6071937000,44.0000000000,43.0000000000,44.0000000000,0.1800000000,18174.0313234254,-0.0000093450,0.0000000000,0.0000000000,34.1631061658,1.9722425677,12.0995792150,LOS
3.0000000000,462688.0332354940,48.0000000000,2.0000000000,-9905761.1298150900,38.0000000000,37.0000000000,38.0000000000,0.0750000000,17925.2264896109,0.0001936072,0.0000000000,0.0000000000,282.5810984224,-4.9817970097,48.1766493507,NLOS
4.0000000000,462688.0332354940,61.0000000000,2.0000000000,-9965755.7889135200,39.0000000000,38.0000000000,39.0000000000,0.1560000000,18595.8424782417,-0.0000067730,0.0000000000,0.0000000000,385.7450434268,-4.1398738250,-29.6305786185,NLOS
